,job_titles,company_names,experiences,locations,descriptions_url,skills_sets
134,Data Analyst - Driver Platform ,Gojek,2 - 5 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/data-analyst-driver-platform-gojek-bengaluru-bangalore-2-to-5-yrs-jobid-pTslwNGz9uZzpSvf__PLUS__uAgZw==&source=srp,"['business requirements', 'dashboards', 'ds', 'sql', 'data visualization', 'advanced analytics', 'data analytics', 'business analysis', 'tableau', 'statistical analysis']"
135,Senior Data Analyst ,PUBLICIS GROUPE,5 - 9 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/senior-data-analyst-publicis-groupe-bengaluru-bangalore-5-to-9-yrs-jobid-Fzu39XWDyc1zpSvf__PLUS__uAgZw==&source=srp,"['sql', 'hadoop', 'big data', 'crm', 'python', 'sas', 'system management', 'problem solving', 'team player', 'identity management', 'written communication', 'sas access']"
136,Senior Data Analyst ,Epsilon,5 - 9 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/senior-data-analyst-epsilon-bengaluru-bangalore-5-to-9-yrs-jobid-EFrK3Uemx61zpSvf__PLUS__uAgZw==&source=srp,"['sql', 'hadoop', 'big data', 'crm', 'python', 'sas', 'system management', 'problem solving', 'team player', 'identity management', 'written communication', 'sas access']"
137,Financial Data Analysts ,CMOTS INTERNET TECHNOLOGIES PVT LTD,0 - 3 yrs,Chennai,https://www.timesjobs.com/job-detail/financial-data-analysts-cmots-internet-technologies-pvt-ltd-chennai-0-to-3-yrs-jobid-oOF6CDXvKeNzpSvf__PLUS__uAgZw==&source=srp,"['MS Excel ', 'VBA ', 'Analysing ', ' Maintaining database ', ' Increasing productivity ', ' Reconciling data ', ' finance ', 'analytical abilities.']"
138,Senior Data Analyst ,SYSTEM SOFT INC.,2 - 3 yrs,Pakistan,https://www.timesjobs.com/job-detail/senior-data-analyst-system-soft-inc-pakistan-2-to-3-yrs-jobid-T2emQUpvINtzpSvf__PLUS__uAgZw==&source=srp,"['search engine optimization', 'omniture', 'e-commerce', 'sem', 'seo', 'mobile', 'online business', 'web analytics']"
139,Data Analyst- Product ,BOLD,3 - 5 yrs,Noida/Greater Noida,https://www.timesjobs.com/job-detail/data-analyst-product-bold-noida-greater-noida-3-to-5-yrs-jobid-HLgofnAty1dzpSvf__PLUS__uAgZw==&source=srp,"['bi', 'san', 'python', 'messaging', 'infrastructure']"
140,Digital Marketing Data Analyst ,Thrillophilia,0 - 3 yrs,Jaipur,https://www.timesjobs.com/job-detail/digital-marketing-data-analyst-thrillophilia-jaipur-0-to-3-yrs-jobid-__PLUS__XKOKQdtN8hzpSvf__PLUS__uAgZw==&source=srp,"['python', 'data mining', 'mining', 'sql', 'business objects', 'big data']"
141,Credit Data Analyst ,ion trading india pvt. ltd.,0 - 3 yrs,Mumbai,https://www.timesjobs.com/job-detail/credit-data-analyst-ion-trading-india-pvt-ltd-mumbai-0-to-3-yrs-jobid-WTUuhAsRshBzpSvf__PLUS__uAgZw==&source=srp,"['financial analysis', 'accountant', 'accounting', 'spreadsheets', 'legal', 'financial accounts', 'financial statements', 'excel', 'accountancy', 'accounts', 'finance']"
142,eCommerce and Digital Data Analyst ,Merck Ltd,4 - 9 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/ecommerce-and-digital-data-analyst-merck-ltd-bengaluru-bangalore-4-to-9-yrs-jobid-ekqXu2F57FVzpSvf__PLUS__uAgZw==&source=srp,"['database', 'big data', 'rest', ' Data frameworks']"
143,Data Analyst BA ,Citibank India,8 - 11 yrs,Pune,https://www.timesjobs.com/job-detail/data-analyst-ba-citibank-india-pune-8-to-11-yrs-jobid-dAV4vHuiUk1zpSvf__PLUS__uAgZw==&source=srp,"['functional specifications', 'data analysis', 'business analysis', 'business environment']"
144,Senior Data Analyst ,PUBLICIS GROUPE,5 - 7 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/senior-data-analyst-publicis-groupe-bengaluru-bangalore-5-to-7-yrs-jobid-gQzlHtoJS__SLASH__1zpSvf__PLUS__uAgZw==&source=srp,"['sql', 'crm', 'sas', 'system management', 'problem solving', 'team player', 'identity management', 'written communication', 'sas access', 'unix']"
145,Sr. Data Analyst-IND ,APPLYCUP HIRING SOLUTIONS LLP,5 - 8 yrs,Chennai,https://www.timesjobs.com/job-detail/sr-data-analyst-ind-applycup-hiring-solutions-llp-chennai-5-to-8-yrs-jobid-QwCGRFdiq3dzpSvf__PLUS__uAgZw==&source=srp,"['web security', 'hacking', 'IT security', 'vulnerability', 'database programming', 'database', 'security', 'penetration testing', 'security operations center', 'data security', 'operating system', 'information security', 'access management', 'security architecture', 'infrastructure']"
146,"Data Analyst ,DCM Bonds ",ion trading india pvt. ltd.,0 - 3 yrs,Hong Kong,https://www.timesjobs.com/job-detail/data-analyst-dcm-bonds-ion-trading-india-pvt-ltd-hong-kong-0-to-3-yrs-jobid-efIdvXBgtBpzpSvf__PLUS__uAgZw==&source=srp,"['historical database', 'database inclusion', 'desktop research']"
147,Sr. Data Analyst ,crescendo global,7 - 10 yrs,"Mumbai,  Pune",https://www.timesjobs.com/job-detail/sr-data-analyst-crescendo-global-mumbai-pune-7-to-10-yrs-jobid-zFd7xWRjCXRzpSvf__PLUS__uAgZw==&source=srp,"['python', 'bi', 'sql', 'technical skills']"
148,Market Data Analyst ,ion trading india pvt. ltd.,0 - 1 yrs,Gurgaon,https://www.timesjobs.com/job-detail/market-data-analyst-ion-trading-india-pvt-ltd-gurgaon-0-to-1-yrs-jobid-XCKmH7qKGWlzpSvf__PLUS__uAgZw==&source=srp,"['software development life cycle', 'computer skills', 'uat', 'acceptance testing', 'sdlc']"
